Municipality,State,Population,Contact Name,Title,Email,Phone,Website,Address,Source,Last Updated
"Beaverton town, Alabama",Alabama,187,,,,,,,US Census API,2025-07-29 22:03:04
"Belgreen CDP, Alabama",Alabama,170,,,,,,,US Census API,2025-07-29 22:03:04
"Belk town, Alabama",Alabama,186,,,,,,,US Census API,2025-07-29 22:03:04
"Bellamy CDP, Alabama",Alabama,363,,,,,,,US Census API,2025-07-29 22:03:04
"Belle Fontaine CDP, Alabama",Alabama,613,,,,,,,US Census API,2025-07-29 22:03:04
"Benton town, Alabama",Alabama,41,,,,,,,US Census API,2025-07-29 22:03:04
"Berlin town, Alabama",Alabama,476,,,,,,,US Census API,2025-07-29 22:03:04
"Berry town, Alabama",Alabama,1216,,,,,,,US Census API,2025-07-29 22:03:04
"Bessemer city, Alabama",Alabama,26019,,,,,,,US Census API,2025-07-29 22:03:04
"Billingsley town, Alabama",Alabama,125,,,,,,,US Census API,2025-07-29 22:03:04
"Black town, Alabama",Alabama,221,,,,,,,US Census API,2025-07-29 22:03:04
"Blountsville town, Alabama",Alabama,1826,,,,,,,US Census API,2025-07-29 22:03:04
"Blue Ridge CDP, Alabama",Alabama,1485,,,,,,,US Census API,2025-07-29 22:03:04
"Blue Springs town, Alabama",Alabama,84,,,,,,,US Census API,2025-07-29 22:03:04
"Boaz city, Alabama",Alabama,10107,,,,,,,US Census API,2025-07-29 22:03:04
"Boligee town, Alabama",Alabama,301,,,,,,,US Census API,2025-07-29 22:03:04
"Bon Air town, Alabama",Alabama,172,,,,,,,US Census API,2025-07-29 22:03:04
"Bon Secour CDP, Alabama",Alabama,1754,,,,,,,US Census API,2025-07-29 22:03:04
"Boykin CDP, Alabama",Alabama,208,,,,,,,US Census API,2025-07-29 22:03:04
"Brantley town, Alabama",Alabama,825,,,,,,,US Census API,2025-07-29 22:03:04
"Brantleyville CDP, Alabama",Alabama,931,,,,,,,US Census API,2025-07-29 22:03:04
"Brent city, Alabama",Alabama,2972,,,,,,,US Census API,2025-07-29 22:03:04
"Brewton city, Alabama",Alabama,5276,,,,,,,US Census API,2025-07-29 22:03:04
"Bridgeport city, Alabama",Alabama,2264,,,,,,,US Census API,2025-07-29 22:03:04
"Brighton city, Alabama",Alabama,2337,,,,,,,US Census API,2025-07-29 22:03:04
"Brilliant town, Alabama",Alabama,845,,,,,,,US Census API,2025-07-29 22:03:04
"Bristow Cove CDP, Alabama",Alabama,624,,,,,,,US Census API,2025-07-29 22:03:04
"Brook Highland CDP, Alabama",Alabama,7406,,,,,,,US Census API,2025-07-29 22:03:04
"Brookside town, Alabama",Alabama,1253,,,,,,,US Census API,2025-07-29 22:03:04
"Brookwood town, Alabama",Alabama,2504,,,,,,,US Census API,2025-07-29 22:03:04
"Broomtown CDP, Alabama",Alabama,160,,,,,,,US Census API,2025-07-29 22:03:04
"Brundidge city, Alabama",Alabama,2073,,,,,,,US Census API,2025-07-29 22:03:04
"Bucks CDP, Alabama",Alabama,22,,,,,,,US Census API,2025-07-29 22:03:04
"Butler town, Alabama",Alabama,1871,,,,,,,US Census API,2025-07-29 22:03:04
"Calera city, Alabama",Alabama,16494,,,,,,,US Census API,2025-07-29 22:03:04
"Calvert CDP, Alabama",Alabama,255,,,,,,,US Census API,2025-07-29 22:03:04
"Camden city, Alabama",Alabama,1927,,,,,,,US Census API,2025-07-29 22:03:04
"Camp Hill town, Alabama",Alabama,1006,,,,,,,US Census API,2025-07-29 22:03:04
"Carbon Hill city, Alabama",Alabama,1769,,,,,,,US Census API,2025-07-29 22:03:04
"Cardiff town, Alabama",Alabama,52,,,,,,,US Census API,2025-07-29 22:03:04
"Carlisle-Rockledge CDP, Alabama",Alabama,2167,,,,,,,US Census API,2025-07-29 22:03:04
"Carlton CDP, Alabama",Alabama,46,,,,,,,US Census API,2025-07-29 22:03:04
"Carolina town, Alabama",Alabama,286,,,,,,,US Census API,2025-07-29 22:03:04
"Carrollton town, Alabama",Alabama,1023,,,,,,,US Census API,2025-07-29 22:03:04
"Castleberry town, Alabama",Alabama,486,,,,,,,US Census API,2025-07-29 22:03:04
"Catherine CDP, Alabama",Alabama,65,,,,,,,US Census API,2025-07-29 22:03:04
"Cedar Bluff town, Alabama",Alabama,1845,,,,,,,US Census API,2025-07-29 22:03:04
"Center Point city, Alabama",Alabama,16406,,,,,,,US Census API,2025-07-29 22:03:04
"Centre city, Alabama",Alabama,3587,,,,,,,US Census API,2025-07-29 22:03:04
"Centreville city, Alabama",Alabama,2800,,,,,,,US Census API,2025-07-29 22:03:04
"Chatom town, Alabama",Alabama,1104,,,,,,,US Census API,2025-07-29 22:03:04
"Chelsea city, Alabama",Alabama,14982,,,,,,,US Census API,2025-07-29 22:03:04
"Cherokee town, Alabama",Alabama,970,,,,,,,US Census API,2025-07-29 22:03:04
"Chickasaw city, Alabama",Alabama,6457,,,,,,,US Census API,2025-07-29 22:03:04
"Childersburg city, Alabama",Alabama,4754,,,,,,,US Census API,2025-07-29 22:03:04
"Choccolocco CDP, Alabama",Alabama,2838,,,,,,,US Census API,2025-07-29 22:03:04
"Chunchula CDP, Alabama",Alabama,195,,,,,,,US Census API,2025-07-29 22:03:04
"Citronelle city, Alabama",Alabama,3946,,,,,,,US Census API,2025-07-29 22:03:04
"Clanton city, Alabama",Alabama,8768,,,,,,,US Census API,2025-07-29 22:03:04
"Clay city, Alabama",Alabama,10291,,,,,,,US Census API,2025-07-29 22:03:04
"Clayhatchee town, Alabama",Alabama,466,,,,,,,US Census API,2025-07-29 22:03:04
"Clayton town, Alabama",Alabama,2265,,,,,,,US Census API,2025-07-29 22:03:04
"Cleveland town, Alabama",Alabama,1245,,,,,,,US Census API,2025-07-29 22:03:04
"Clio city, Alabama",Alabama,1220,,,,,,,US Census API,2025-07-29 22:03:04
"Coaling town, Alabama",Alabama,2035,,,,,,,US Census API,2025-07-29 22:03:04
"Coats Bend CDP, Alabama",Alabama,1318,,,,,,,US Census API,2025-07-29 22:03:04
"Coffee Springs town, Alabama",Alabama,206,,,,,,,US Census API,2025-07-29 22:03:04
"Coffeeville town, Alabama",Alabama,263,,,,,,,US Census API,2025-07-29 22:03:04
"Coker town, Alabama",Alabama,904,,,,,,,US Census API,2025-07-29 22:03:04
"Collinsville town, Alabama",Alabama,2059,,,,,,,US Census API,2025-07-29 22:03:04
"Colony town, Alabama",Alabama,264,,,,,,,US Census API,2025-07-29 22:03:04
"Columbia town, Alabama",Alabama,690,,,,,,,US Census API,2025-07-29 22:03:04
"Columbiana city, Alabama",Alabama,4462,,,,,,,US Census API,2025-07-29 22:03:04
"Concord CDP, Alabama",Alabama,1690,,,,,,,US Census API,2025-07-29 22:03:04
"Coosada town, Alabama",Alabama,1217,,,,,,,US Census API,2025-07-29 22:03:04
"Cordova city, Alabama",Alabama,1728,,,,,,,US Census API,2025-07-29 22:03:04
"Cottondale CDP, Alabama",Alabama,3130,,,,,,,US Census API,2025-07-29 22:03:04
"Cottonwood town, Alabama",Alabama,1048,,,,,,,US Census API,2025-07-29 22:03:04
"County Line town, Alabama",Alabama,311,,,,,,,US Census API,2025-07-29 22:03:04
"Courtland town, Alabama",Alabama,583,,,,,,,US Census API,2025-07-29 22:03:04
"Cowarts town, Alabama",Alabama,1930,,,,,,,US Census API,2025-07-29 22:03:04
"Creola city, Alabama",Alabama,1936,,,,,,,US Census API,2025-07-29 22:03:04
"Crossville town, Alabama",Alabama,1830,,,,,,,US Census API,2025-07-29 22:03:04
"Cuba town, Alabama",Alabama,306,,,,,,,US Census API,2025-07-29 22:03:04
"Cullman city, Alabama",Alabama,18213,,,,,,,US Census API,2025-07-29 22:03:04
"Cullomburg CDP, Alabama",Alabama,126,,,,,,,US Census API,2025-07-29 22:03:04
"Cusseta town, Alabama",Alabama,152,,,,,,,US Census API,2025-07-29 22:03:04
"Dadeville city, Alabama",Alabama,3084,,,,,,,US Census API,2025-07-29 22:03:04
"Daleville city, Alabama",Alabama,4866,,,,,,,US Census API,2025-07-29 22:03:04
"Daphne city, Alabama",Alabama,27462,,,,,,,US Census API,2025-07-29 22:03:04
"Dauphin Island town, Alabama",Alabama,1778,,,,,,,US Census API,2025-07-29 22:03:04
"Daviston town, Alabama",Alabama,174,,,,,,,US Census API,2025-07-29 22:03:04
"Dayton town, Alabama",Alabama,28,,,,,,,US Census API,2025-07-29 22:03:04
"Deatsville town, Alabama",Alabama,1679,,,,,,,US Census API,2025-07-29 22:03:04
"Deer Park CDP, Alabama",Alabama,141,,,,,,,US Census API,2025-07-29 22:03:04
"Delta CDP, Alabama",Alabama,260,,,,,,,US Census API,2025-07-29 22:03:04
"Demopolis city, Alabama",Alabama,7162,,,,,,,US Census API,2025-07-29 22:03:04
"Detroit town, Alabama",Alabama,230,,,,,,,US Census API,2025-07-29 22:03:04
"Dodge City town, Alabama",Alabama,548,,,,,,,US Census API,2025-07-29 22:03:04
"Dora city, Alabama",Alabama,2297,,,,,,,US Census API,2025-07-29 22:03:04
"Double Springs town, Alabama",Alabama,1119,,,,,,,US Census API,2025-07-29 22:03:04
"Douglas town, Alabama",Alabama,761,,,,,,,US Census API,2025-07-29 22:03:04
"Dozier town, Alabama",Alabama,285,,,,,,,US Census API,2025-07-29 22:03:04
"Dunnavant CDP, Alabama",Alabama,936,,,,,,,US Census API,2025-07-29 22:03:04
"Dutton town, Alabama",Alabama,330,,,,,,,US Census API,2025-07-29 22:03:04
"Eagle Point CDP, Alabama",Alabama,2903,,,,,,,US Census API,2025-07-29 22:03:04
"East Brewton city, Alabama",Alabama,2293,,,,,,,US Census API,2025-07-29 22:03:05
"East Point CDP, Alabama",Alabama,172,,,,,,,US Census API,2025-07-29 22:03:05
"Eclectic town, Alabama",Alabama,1193,,,,,,,US Census API,2025-07-29 22:03:05
"Edgewater CDP, Alabama",Alabama,746,,,,,,,US Census API,2025-07-29 22:03:05
"Edwardsville town, Alabama",Alabama,206,,,,,,,US Census API,2025-07-29 22:03:05
"Egypt CDP, Alabama",Alabama,845,,,,,,,US Census API,2025-07-29 22:03:05
"Elba city, Alabama",Alabama,3508,,,,,,,US Census API,2025-07-29 22:03:05
"Elberta town, Alabama",Alabama,1974,,,,,,,US Census API,2025-07-29 22:03:05
"Eldridge town, Alabama",Alabama,136,,,,,,,US Census API,2025-07-29 22:03:05
"Elkmont town, Alabama",Alabama,411,,,,,,,US Census API,2025-07-29 22:03:05
"Elmore town, Alabama",Alabama,1280,,,,,,,US Census API,2025-07-29 22:03:05
"Emelle town, Alabama",Alabama,32,,,,,,,US Census API,2025-07-29 22:03:05
"Emerald Mountain CDP, Alabama",Alabama,3310,,,,,,,US Census API,2025-07-29 22:03:05
"Enterprise city, Alabama",Alabama,28711,,,,,,,US Census API,2025-07-29 22:03:05
"Epes town, Alabama",Alabama,272,,,,,,,US Census API,2025-07-29 22:03:05
"Equality CDP, Alabama",Alabama,150,,,,,,,US Census API,2025-07-29 22:03:05
"Ethelsville town, Alabama",Alabama,49,,,,,,,US Census API,2025-07-29 22:03:05
"Eufaula city, Alabama",Alabama,12882,,,,,,,US Census API,2025-07-29 22:03:05
"Eunola CDP, Alabama",Alabama,284,,,,,,,US Census API,2025-07-29 22:03:05
"Eutaw town, Alabama",Alabama,2937,,,,,,,US Census API,2025-07-29 22:03:05
"Eva town, Alabama",Alabama,589,,,,,,,US Census API,2025-07-29 22:03:05
"Evergreen city, Alabama",Alabama,3520,,,,,,,US Census API,2025-07-29 22:03:05
"Excel town, Alabama",Alabama,557,,,,,,,US Census API,2025-07-29 22:03:05
"Fairfield city, Alabama",Alabama,10000,,,,,,,US Census API,2025-07-29 22:03:05
"Fairford CDP, Alabama",Alabama,161,,,,,,,US Census API,2025-07-29 22:03:05
"Fairhope city, Alabama",Alabama,22477,,,,,,,US Census API,2025-07-29 22:03:05
"Fairview town, Alabama",Alabama,543,,,,,,,US Census API,2025-07-29 22:03:05
"Falkville town, Alabama",Alabama,1197,,,,,,,US Census API,2025-07-29 22:03:05
"Faunsdale town, Alabama",Alabama,90,,,,,,,US Census API,2025-07-29 22:03:05
"Fayette city, Alabama",Alabama,4285,,,,,,,US Census API,2025-07-29 22:03:05
"Fayetteville CDP, Alabama",Alabama,1422,,,,,,,US Census API,2025-07-29 22:03:05
"Fitzpatrick CDP, Alabama",Alabama,79,,,,,,,US Census API,2025-07-29 22:03:05
"Five Points town, Alabama",Alabama,114,,,,,,,US Census API,2025-07-29 22:03:05
"Flomaton town, Alabama",Alabama,1466,,,,,,,US Census API,2025-07-29 22:03:05
"Florala town, Alabama",Alabama,1923,,,,,,,US Census API,2025-07-29 22:03:05
"Florence city, Alabama",Alabama,40184,,,,,,,US Census API,2025-07-29 22:03:05
"Foley city, Alabama",Alabama,20335,,,,,,,US Census API,2025-07-29 22:03:05
"Forestdale CDP, Alabama",Alabama,10409,,,,,,,US Census API,2025-07-29 22:03:05
"Forkland town, Alabama",Alabama,445,,,,,,,US Census API,2025-07-29 22:03:05
"Fort Deposit town, Alabama",Alabama,1225,,,,,,,US Census API,2025-07-29 22:03:05
"Fort Payne city, Alabama",Alabama,14877,,,,,,,US Census API,2025-07-29 22:03:05
"Fort Rucker CDP, Alabama",Alabama,4464,,,,,,,US Census API,2025-07-29 22:03:05
"Franklin town, Alabama",Alabama,590,,,,,,,US Census API,2025-07-29 22:03:05
"Fredonia CDP, Alabama",Alabama,198,,,,,,,US Census API,2025-07-29 22:03:05
"Frisco City town, Alabama",Alabama,1170,,,,,,,US Census API,2025-07-29 22:03:05
"Fruitdale CDP, Alabama",Alabama,175,,,,,,,US Census API,2025-07-29 22:03:05
"Fruithurst town, Alabama",Alabama,235,,,,,,,US Census API,2025-07-29 22:03:05
"Fulton town, Alabama",Alabama,223,,,,,,,US Census API,2025-07-29 22:03:05
"Fultondale city, Alabama",Alabama,9876,,,,,,,US Census API,2025-07-29 22:03:05
"Fyffe town, Alabama",Alabama,967,,,,,,,US Census API,2025-07-29 22:03:05
"Gadsden city, Alabama",Alabama,33945,,,,,,,US Census API,2025-07-29 22:03:05
"Gainesville town, Alabama",Alabama,172,,,,,,,US Census API,2025-07-29 22:03:05
"Gallant CDP, Alabama",Alabama,869,,,,,,,US Census API,2025-07-29 22:03:05
"Gantt town, Alabama",Alabama,196,,,,,,,US Census API,2025-07-29 22:03:05
"Garden City town, Alabama",Alabama,528,,,,,,,US Census API,2025-07-29 22:03:05
"Gardendale city, Alabama",Alabama,16044,,,,,,,US Census API,2025-07-29 22:03:05
"Gaylesville town, Alabama",Alabama,170,,,,,,,US Census API,2025-07-29 22:03:05
"Geiger town, Alabama",Alabama,155,,,,,,,US Census API,2025-07-29 22:03:05
"Geneva city, Alabama",Alabama,4245,,,,,,,US Census API,2025-07-29 22:03:06
"Georgiana town, Alabama",Alabama,1324,,,,,,,US Census API,2025-07-29 22:03:06
"Geraldine town, Alabama",Alabama,910,,,,,,,US Census API,2025-07-29 22:03:06
"Gilbertown town, Alabama",Alabama,739,,,,,,,US Census API,2025-07-29 22:03:06
"Glen Allen town, Alabama",Alabama,433,,,,,,,US Census API,2025-07-29 22:03:06
"Glencoe city, Alabama",Alabama,5372,,,,,,,US Census API,2025-07-29 22:03:06
"Glenwood town, Alabama",Alabama,152,,,,,,,US Census API,2025-07-29 22:03:06
"Goldville town, Alabama",Alabama,52,,,,,,,US Census API,2025-07-29 22:03:06
"Good Hope city, Alabama",Alabama,2483,,,,,,,US Census API,2025-07-29 22:03:06
"Goodwater town, Alabama",Alabama,1291,,,,,,,US Census API,2025-07-29 22:03:06
"Gordo town, Alabama",Alabama,1628,,,,,,,US Census API,2025-07-29 22:03:06
"Gordon town, Alabama",Alabama,294,,,,,,,US Census API,2025-07-29 22:03:06
"Gordonville town, Alabama",Alabama,245,,,,,,,US Census API,2025-07-29 22:03:06
"Goshen town, Alabama",Alabama,269,,,,,,,US Census API,2025-07-29 22:03:06
"Graham CDP, Alabama",Alabama,196,,,,,,,US Census API,2025-07-29 22:03:06
"Grand Bay CDP, Alabama",Alabama,3460,,,,,,,US Census API,2025-07-29 22:03:06
"Grant town, Alabama",Alabama,1039,,,,,,,US Census API,2025-07-29 22:03:06
"Grayson Valley CDP, Alabama",Alabama,5982,,,,,,,US Census API,2025-07-29 22:03:06
"Graysville city, Alabama",Alabama,1950,,,,,,,US Census API,2025-07-29 22:03:06
"Greensboro city, Alabama",Alabama,2218,,,,,,,US Census API,2025-07-29 22:03:06
"Greenville city, Alabama",Alabama,7374,,,,,,,US Census API,2025-07-29 22:03:06
"Grimes town, Alabama",Alabama,573,,,,,,,US Census API,2025-07-29 22:03:06
"Grove Hill town, Alabama",Alabama,1818,,,,,,,US Census API,2025-07-29 22:03:06
"Gu-Win town, Alabama",Alabama,141,,,,,,,US Census API,2025-07-29 22:03:06
"Guin city, Alabama",Alabama,2195,,,,,,,US Census API,2025-07-29 22:03:06
"Gulf Shores city, Alabama",Alabama,15014,,,,,,,US Census API,2025-07-29 22:03:06
"Gulfcrest CDP, Alabama",Alabama,142,,,,,,,US Census API,2025-07-29 22:03:06
"Guntersville city, Alabama",Alabama,8553,,,,,,,US Census API,2025-07-29 22:03:06
"Gurley town, Alabama",Alabama,816,,,,,,,US Census API,2025-07-29 22:03:06
"Hackleburg town, Alabama",Alabama,1425,,,,,,,US Census API,2025-07-29 22:03:06
"Hackneyville CDP, Alabama",Alabama,349,,,,,,,US Census API,2025-07-29 22:03:06
"Haleburg town, Alabama",Alabama,112,,,,,,,US Census API,2025-07-29 22:03:06
"Haleyville city, Alabama",Alabama,4361,,,,,,,US Census API,2025-07-29 22:03:06
"Hamilton city, Alabama",Alabama,7042,,,,,,,US Census API,2025-07-29 22:03:06
"Hammondville town, Alabama",Alabama,425,,,,,,,US Census API,2025-07-29 22:03:06
"Hanceville city, Alabama",Alabama,3217,,,,,,,US Census API,2025-07-29 22:03:06
"Hanover CDP, Alabama",Alabama,151,,,,,,,US Census API,2025-07-29 22:03:06
"Harpersville town, Alabama",Alabama,1614,,,,,,,US Census API,2025-07-29 22:03:06
"Hartford city, Alabama",Alabama,2651,,,,,,,US Census API,2025-07-29 22:03:06
"Hartselle city, Alabama",Alabama,15455,,,,,,,US Census API,2025-07-29 22:03:06
"Harvest CDP, Alabama",Alabama,5893,,,,,,,US Census API,2025-07-29 22:03:06
"Hatton CDP, Alabama",Alabama,244,,,,,,,US Census API,2025-07-29 22:03:06
"Hayden town, Alabama",Alabama,1342,,,,,,,US Census API,2025-07-29 22:03:06
"Hayneville town, Alabama",Alabama,830,,,,,,,US Census API,2025-07-29 22:03:06
"Hazel Green CDP, Alabama",Alabama,4105,,,,,,,US Census API,2025-07-29 22:03:06
"Headland city, Alabama",Alabama,4973,,,,,,,US Census API,2025-07-29 22:03:06
"Heath town, Alabama",Alabama,236,,,,,,,US Census API,2025-07-29 22:03:06
"Heflin city, Alabama",Alabama,3431,,,,,,,US Census API,2025-07-29 22:03:06
"Helena city, Alabama",Alabama,20914,,,,,,,US Census API,2025-07-29 22:03:06
"Henagar city, Alabama",Alabama,2292,,,,,,,US Census API,2025-07-29 22:03:06
"Highland Lake town, Alabama",Alabama,412,,,,,,,US Census API,2025-07-29 22:03:06
"Highland Lakes CDP, Alabama",Alabama,5239,,,,,,,US Census API,2025-07-29 22:03:06
"Hillsboro town, Alabama",Alabama,407,,,,,,,US Census API,2025-07-29 22:03:06
"Hissop CDP, Alabama",Alabama,209,,,,,,,US Census API,2025-07-29 22:03:06
"Hobson CDP, Alabama",Alabama,100,,,,,,,US Census API,2025-07-29 22:03:06
"Hobson City town, Alabama",Alabama,759,,,,,,,US Census API,2025-07-29 22:03:06
"Hodges town, Alabama",Alabama,265,,,,,,,US Census API,2025-07-29 22:03:06
"Hokes Bluff city, Alabama",Alabama,4446,,,,,,,US Census API,2025-07-29 22:03:06
"Hollins CDP, Alabama",Alabama,517,,,,,,,US Census API,2025-07-29 22:03:06
"Hollis Crossroads CDP, Alabama",Alabama,665,,,,,,,US Census API,2025-07-29 22:03:06
"Holly Pond town, Alabama",Alabama,851,,,,,,,US Census API,2025-07-29 22:03:06
"Hollywood town, Alabama",Alabama,914,,,,,,,US Census API,2025-07-29 22:03:06
"Holt CDP, Alabama",Alabama,3413,,,,,,,US Census API,2025-07-29 22:03:06
"Holtville CDP, Alabama",Alabama,4940,,,,,,,US Census API,2025-07-29 22:03:06
"Homewood city, Alabama",Alabama,26414,,,,,,,US Census API,2025-07-29 22:03:06
"Horn Hill town, Alabama",Alabama,207,,,,,,,US Census API,2025-07-29 22:03:06
"Hueytown city, Alabama",Alabama,16776,,,,,,,US Census API,2025-07-29 22:03:06
"Huguley CDP, Alabama",Alabama,2470,,,,,,,US Census API,2025-07-29 22:03:06
"Hurtsboro town, Alabama",Alabama,349,,,,,,,US Census API,2025-07-29 22:03:06
"Hytop town, Alabama",Alabama,441,,,,,,,US Census API,2025-07-29 22:03:06
"Ider town, Alabama",Alabama,735,,,,,,,US Census API,2025-07-29 22:03:06
"Indian Springs Village city, Alabama",Alabama,2481,,,,,,,US Census API,2025-07-29 22:03:06
"Irondale city, Alabama",Alabama,13497,,,,,,,US Census API,2025-07-29 22:03:06
"Ivalee CDP, Alabama",Alabama,946,,,,,,,US Census API,2025-07-29 22:03:06
"Jackson city, Alabama",Alabama,4748,,,,,,,US Census API,2025-07-29 22:03:06
"Jacksons' Gap town, Alabama",Alabama,747,,,,,,,US Census API,2025-07-29 22:03:06
"Jacksonville city, Alabama",Alabama,14385,,,,,,,US Census API,2025-07-29 22:03:06
"Jasper city, Alabama",Alabama,14572,,,,,,,US Census API,2025-07-29 22:03:06
"Jemison city, Alabama",Alabama,2642,,,,,,,US Census API,2025-07-29 22:03:06
"Joppa CDP, Alabama",Alabama,556,,,,,,,US Census API,2025-07-29 22:03:06
"Kansas town, Alabama",Alabama,180,,,,,,,US Census API,2025-07-29 22:03:06
"Kellyton town, Alabama",Alabama,129,,,,,,,US Census API,2025-07-29 22:03:06
"Kennedy town, Alabama",Alabama,435,,,,,,,US Census API,2025-07-29 22:03:06
"Killen town, Alabama",Alabama,1034,,,,,,,US Census API,2025-07-29 22:03:06
"Kimberly city, Alabama",Alabama,3841,,,,,,,US Census API,2025-07-29 22:03:06
"Kinsey town, Alabama",Alabama,2203,,,,,,,US Census API,2025-07-29 22:03:06
"Kinston town, Alabama",Alabama,580,,,,,,,US Census API,2025-07-29 22:03:06
"La Fayette city, Alabama",Alabama,2684,,,,,,,US Census API,2025-07-29 22:03:06
"Ladonia CDP, Alabama",Alabama,3074,,,,,,,US Census API,2025-07-29 22:03:06
"Lake View town, Alabama",Alabama,3560,,,,,,,US Census API,2025-07-29 22:03:06
"Lakeview town, Alabama",Alabama,161,,,,,,,US Census API,2025-07-29 22:03:06
"Lanett city, Alabama",Alabama,6970,,,,,,,US Census API,2025-07-29 22:03:06
"Langston town, Alabama",Alabama,265,,,,,,,US Census API,2025-07-29 22:03:06
"Leeds city, Alabama",Alabama,12324,,,,,,,US Census API,2025-07-29 22:03:06
"Leesburg town, Alabama",Alabama,911,,,,,,,US Census API,2025-07-29 22:03:06
"Leighton town, Alabama",Alabama,665,,,,,,,US Census API,2025-07-29 22:03:06
"Leroy CDP, Alabama",Alabama,766,,,,,,,US Census API,2025-07-29 22:03:06
"Lester town, Alabama",Alabama,111,,,,,,,US Census API,2025-07-29 22:03:06
"Level Plains town, Alabama",Alabama,1825,,,,,,,US Census API,2025-07-29 22:03:06
"Lexington town, Alabama",Alabama,727,,,,,,,US Census API,2025-07-29 22:03:06
"Libertyville town, Alabama",Alabama,108,,,,,,,US Census API,2025-07-29 22:03:06
"Lillian CDP, Alabama",Alabama,1330,,,,,,,US Census API,2025-07-29 22:03:06
"Lincoln city, Alabama",Alabama,6845,,,,,,,US Census API,2025-07-29 22:03:06
"Linden city, Alabama",Alabama,1930,,,,,,,US Census API,2025-07-29 22:03:06
"Lineville city, Alabama",Alabama,2489,,,,,,,US Census API,2025-07-29 22:03:06
"Lipscomb city, Alabama",Alabama,2086,,,,,,,US Census API,2025-07-29 22:03:06
"Lisman town, Alabama",Alabama,427,,,,,,,US Census API,2025-07-29 22:03:06
"Littleville town, Alabama",Alabama,1038,,,,,,,US Census API,2025-07-29 22:03:06
"Livingston city, Alabama",Alabama,3436,,,,,,,US Census API,2025-07-29 22:03:06
