municipality,state,population,likely_website,likely_email,alt_emails,score,priority,target_persona,pain_points,value_proposition,next_action
"Lockhart city, Texas",Texas,14379,"https://www.lockhart,texas.texas.gov","clerk@lockhart,texas.gov","info@lockhart,texas.gov; mayor@lockhart,texas.gov; citymanager@lockhart,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"St. Augustine city, Florida",Florida,14329,"https://www.st.augustine,florida.florida.gov","clerk@st.augustine,florida.gov","info@st.augustine,florida.gov; mayor@st.augustine,florida.gov; citymanager@st.augustine,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"East Milton CDP, Florida",Florida,14309,"https://www.eastmilton,florida.florida.gov","clerk@eastmilton,florida.gov","info@eastmilton,florida.gov; mayor@eastmilton,florida.gov; citymanager@eastmilton,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Homosassa Springs CDP, Florida",Florida,14283,"https://www.homosassasprings,florida.florida.gov","clerk@homosassasprings,florida.gov","info@homosassasprings,florida.gov; mayor@homosassasprings,florida.gov; citymanager@homosassasprings,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Lone Tree city, Colorado",Colorado,14253,"https://www.lonetree,colorado.colorado.gov","clerk@lonetree,colorado.gov","info@lonetree,colorado.gov; mayor@lonetree,colorado.gov; citymanager@lonetree,colorado.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Mill Valley city, California",California,14231,"https://www.millvalley,california.california.gov","clerk@millvalley,california.gov","info@millvalley,california.gov; mayor@millvalley,california.gov; citymanager@millvalley,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Red Oak city, Texas",Texas,14222,"https://www.redoak,texas.texas.gov","clerk@redoak,texas.gov","info@redoak,texas.gov; mayor@redoak,texas.gov; citymanager@redoak,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Yulee CDP, Florida",Florida,14195,"https://www.yulee,florida.florida.gov","clerk@yulee,florida.gov","info@yulee,florida.gov; mayor@yulee,florida.gov; citymanager@yulee,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Livingston city, California",California,14172,"https://www.livingston,california.california.gov","clerk@livingston,california.gov","info@livingston,california.gov; mayor@livingston,california.gov; citymanager@livingston,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"McFarland city, California",California,14161,"https://www.mcfarland,california.california.gov","clerk@mcfarland,california.gov","info@mcfarland,california.gov; mayor@mcfarland,california.gov; citymanager@mcfarland,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"East Wenatchee city, Washington",Washington,14158,"https://www.eastwenatchee,washington.washington.gov","clerk@eastwenatchee,washington.gov","info@eastwenatchee,washington.gov; mayor@eastwenatchee,washington.gov; citymanager@eastwenatchee,washington.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Hawaiian Gardens city, California",California,14149,"https://www.hawaiiangardens,california.california.gov","clerk@hawaiiangardens,california.gov","info@hawaiiangardens,california.gov; mayor@hawaiiangardens,california.gov; citymanager@hawaiiangardens,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Azalea Park CDP, Florida",Florida,14141,"https://www.azaleapark,florida.florida.gov","clerk@azaleapark,florida.gov","info@azaleapark,florida.gov; mayor@azaleapark,florida.gov; citymanager@azaleapark,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Snoqualmie city, Washington",Washington,14121,"https://www.snoqualmie,washington.washington.gov","clerk@snoqualmie,washington.gov","info@snoqualmie,washington.gov; mayor@snoqualmie,washington.gov; citymanager@snoqualmie,washington.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Lockhart CDP, Florida",Florida,14058,"https://www.lockhart,florida.florida.gov","clerk@lockhart,florida.gov","info@lockhart,florida.gov; mayor@lockhart,florida.gov; citymanager@lockhart,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Fort Lewis CDP, Washington",Washington,14052,"https://www.fortlewis,washington.washington.gov","clerk@fortlewis,washington.gov","info@fortlewis,washington.gov; mayor@fortlewis,washington.gov; citymanager@fortlewis,washington.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Lamont CDP, California",California,14049,"https://www.lamont,california.california.gov","clerk@lamont,california.gov","info@lamont,california.gov; mayor@lamont,california.gov; citymanager@lamont,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"El Sobrante CDP (Riverside County), California",California,14039,"https://www.elsobrante(riversidecounty),california.california.gov","clerk@elsobrante(riversidecounty),california.gov","info@elsobrante(riversidecounty),california.gov; mayor@elsobrante(riversidecounty),california.gov; citymanager@elsobrante(riversidecounty),california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"North Fair Oaks CDP, California",California,14027,"https://www.northfairoaks,california.california.gov","clerk@northfairoaks,california.gov","info@northfairoaks,california.gov; mayor@northfairoaks,california.gov; citymanager@northfairoaks,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Broadlands CDP, Virginia",Virginia,14021,"https://www.broadlands,virginia.virginia.gov","clerk@broadlands,virginia.gov","info@broadlands,virginia.gov; mayor@broadlands,virginia.gov; citymanager@broadlands,virginia.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Grass Valley city, California",California,14016,"https://www.grassvalley,california.california.gov","clerk@grassvalley,california.gov","info@grassvalley,california.gov; mayor@grassvalley,california.gov; citymanager@grassvalley,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Wells Branch CDP, Texas",Texas,14000,"https://www.wellsbranch,texas.texas.gov","clerk@wellsbranch,texas.gov","info@wellsbranch,texas.gov; mayor@wellsbranch,texas.gov; citymanager@wellsbranch,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Jacksonville city, Texas",Texas,13997,"https://www.jacksonville,texas.texas.gov","clerk@jacksonville,texas.gov","info@jacksonville,texas.gov; mayor@jacksonville,texas.gov; citymanager@jacksonville,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Bothell East CDP, Washington",Washington,13970,"https://www.bothelleast,washington.washington.gov","clerk@bothelleast,washington.gov","info@bothelleast,washington.gov; mayor@bothelleast,washington.gov; citymanager@bothelleast,washington.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Hidalgo city, Texas",Texas,13964,"https://www.hidalgo,texas.texas.gov","clerk@hidalgo,texas.gov","info@hidalgo,texas.gov; mayor@hidalgo,texas.gov; citymanager@hidalgo,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Forest Hill city, Texas",Texas,13955,"https://www.foresthill,texas.texas.gov","clerk@foresthill,texas.gov","info@foresthill,texas.gov; mayor@foresthill,texas.gov; citymanager@foresthill,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Destin city, Florida",Florida,13931,"https://www.destin,florida.florida.gov","clerk@destin,florida.gov","info@destin,florida.gov; mayor@destin,florida.gov; citymanager@destin,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Melissa city, Texas",Texas,13901,"https://www.melissa,texas.texas.gov","clerk@melissa,texas.gov","info@melissa,texas.gov; mayor@melissa,texas.gov; citymanager@melissa,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Oak Park CDP, California",California,13898,"https://www.oakpark,california.california.gov","clerk@oakpark,california.gov","info@oakpark,california.gov; mayor@oakpark,california.gov; citymanager@oakpark,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Salida CDP, California",California,13886,"https://www.salida,california.california.gov","clerk@salida,california.gov","info@salida,california.gov; mayor@salida,california.gov; citymanager@salida,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Miami Springs city, Florida",Florida,13859,"https://www.miamisprings,florida.florida.gov","clerk@miamisprings,florida.gov","info@miamisprings,florida.gov; mayor@miamisprings,florida.gov; citymanager@miamisprings,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Phelan CDP, California",California,13859,"https://www.phelan,california.california.gov","clerk@phelan,california.gov","info@phelan,california.gov; mayor@phelan,california.gov; citymanager@phelan,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Minneola city, Florida",Florida,13843,"https://www.minneola,florida.florida.gov","clerk@minneola,florida.gov","info@minneola,florida.gov; mayor@minneola,florida.gov; citymanager@minneola,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Auburn city, California",California,13776,"https://www.auburn,california.california.gov","clerk@auburn,california.gov","info@auburn,california.gov; mayor@auburn,california.gov; citymanager@auburn,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Huntington CDP, Virginia",Virginia,13749,"https://www.huntington,virginia.virginia.gov","clerk@huntington,virginia.gov","info@huntington,virginia.gov; mayor@huntington,virginia.gov; citymanager@huntington,virginia.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Sterling city, Colorado",Colorado,13735,"https://www.sterling,colorado.colorado.gov","clerk@sterling,colorado.gov","info@sterling,colorado.gov; mayor@sterling,colorado.gov; citymanager@sterling,colorado.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Brandermill CDP, Virginia",Virginia,13730,"https://www.brandermill,virginia.virginia.gov","clerk@brandermill,virginia.gov","info@brandermill,virginia.gov; mayor@brandermill,virginia.gov; citymanager@brandermill,virginia.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Cypress Lake CDP, Florida",Florida,13727,"https://www.cypresslake,florida.florida.gov","clerk@cypresslake,florida.gov","info@cypresslake,florida.gov; mayor@cypresslake,florida.gov; citymanager@cypresslake,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Avenal city, California",California,13696,"https://www.avenal,california.california.gov","clerk@avenal,california.gov","info@avenal,california.gov; mayor@avenal,california.gov; citymanager@avenal,california.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Port Neches city, Texas",Texas,13692,"https://www.portneches,texas.texas.gov","clerk@portneches,texas.gov","info@portneches,texas.gov; mayor@portneches,texas.gov; citymanager@portneches,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Trophy Club town, Texas",Texas,13688,"https://www.trophyclub,texas.texas.gov","clerk@trophyclub,texas.gov","info@trophyclub,texas.gov; mayor@trophyclub,texas.gov; citymanager@trophyclub,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Beeville city, Texas",Texas,13669,"https://www.beeville,texas.texas.gov","clerk@beeville,texas.gov","info@beeville,texas.gov; mayor@beeville,texas.gov; citymanager@beeville,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Lakeland North CDP, Washington",Washington,13663,"https://www.lakelandnorth,washington.washington.gov","clerk@lakelandnorth,washington.gov","info@lakelandnorth,washington.gov; mayor@lakelandnorth,washington.gov; citymanager@lakelandnorth,washington.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Manor city, Texas",Texas,13652,"https://www.manor,texas.texas.gov","clerk@manor,texas.gov","info@manor,texas.gov; mayor@manor,texas.gov; citymanager@manor,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Artondale CDP, Washington",Washington,13641,"https://www.artondale,washington.washington.gov","clerk@artondale,washington.gov","info@artondale,washington.gov; mayor@artondale,washington.gov; citymanager@artondale,washington.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Anderson Creek CDP, North Carolina",North Carolina,13636,"https://www.andersoncreek,northcarolina.northcarolina.gov","clerk@andersoncreek,northcarolina.gov","info@andersoncreek,northcarolina.gov; mayor@andersoncreek,northcarolina.gov; citymanager@andersoncreek,northcarolina.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Lake Forest Park city, Washington",Washington,13630,"https://www.lakeforestpark,washington.washington.gov","clerk@lakeforestpark,washington.gov","info@lakeforestpark,washington.gov; mayor@lakeforestpark,washington.gov; citymanager@lakeforestpark,washington.gov",60,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Seabrook city, Texas",Texas,13618,"https://www.seabrook,texas.texas.gov","clerk@seabrook,texas.gov","info@seabrook,texas.gov; mayor@seabrook,texas.gov; citymanager@seabrook,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Conway CDP, Florida",Florida,13596,"https://www.conway,florida.florida.gov","clerk@conway,florida.gov","info@conway,florida.gov; mayor@conway,florida.gov; citymanager@conway,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Lumberton city, Texas",Texas,13554,"https://www.lumberton,texas.texas.gov","clerk@lumberton,texas.gov","info@lumberton,texas.gov; mayor@lumberton,texas.gov; citymanager@lumberton,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Rendon CDP, Texas",Texas,13533,"https://www.rendon,texas.texas.gov","clerk@rendon,texas.gov","info@rendon,texas.gov; mayor@rendon,texas.gov; citymanager@rendon,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Atlantic Beach city, Florida",Florida,13513,"https://www.atlanticbeach,florida.florida.gov","clerk@atlanticbeach,florida.gov","info@atlanticbeach,florida.gov; mayor@atlanticbeach,florida.gov; citymanager@atlanticbeach,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Naranja CDP, Florida",Florida,13509,"https://www.naranja,florida.florida.gov","clerk@naranja,florida.gov","info@naranja,florida.gov; mayor@naranja,florida.gov; citymanager@naranja,florida.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
"Royse City city, Texas",Texas,13508,"https://www.roysecity,texas.texas.gov","clerk@roysecity,texas.gov","info@roysecity,texas.gov; mayor@roysecity,texas.gov; citymanager@roysecity,texas.gov",50,Low,City Clerk / IT Director,"Outdated website, manual processes, poor mobile experience","Modern government website with citizen portal, mobile-first design, easy content management",Send personalized email with demo link
